Time,Text,Name,Tweet_id,Verified
2022-02-01 23:59:27,#Bitcoin is the best money. There is no second best.,@Dennis_Porter_,/Dennis_Porter_/status/1488663318512300032,True
2022-02-01 23:56:00,"Real Estate values in Canada are not changing in the way it's widely reported.  The brick, mortar, lumber and shingles are the same this year as last.  It's the value of the Canadian dollars that are collapsing.  #Bitcoin @NickKaradza",@tomkaradza,/tomkaradza/status/1488662450073485313,False
2022-02-01 23:53:07,This is why I am a TCP/IP maxi. #Bitcoin,@JCastroS,/JCastroS/status/1488661724706316291,True
2022-02-01 23:52:49,"I really wish people would learn to separate the crypto casino from what #bitcoin is.  There isn't even a comparison.  All of these crypto projects are companies that are looking to make money by selling you an idea ... bitcoin has no leader, has no company, and is here to stay.",@itsLIRAN,/itsLIRAN/status/1488661646125899781,False
2022-02-01 23:50:00,#Bitcoin will hit $_____ by end of February (fill in a number).,@MEXC_Global,/MEXC_Global/status/1488660937821282306,True
2022-02-01 23:49:31,"South Africa's Sun Exchange, a solar power investing community that uses #bitcoin to raise capital and to make payments to its investors, says it has completed the highest value crowdsourced project of any kind in Africa. ",@DocumentingBTC,/DocumentingBTC/status/1488660818753470467,False
2022-02-01 23:46:14,"Does anyone have an issue with this or is it just me?  @saylor now controls 0.6% of all #bitcoin that will ever exist.  This does not align with #Satoshi vision for a decentralized, peer-to-peer electronic currency.",@fredestante,/fredestante/status/1488659992332881926,True
2022-02-01 23:44:15,I don’t own enough #Bitcoin and neither do you.,@Eggplant_Elon,/Eggplant_Elon/status/1488659491830837260,False
2022-02-01 23:39:54,Rarely do we see #Bitcoin pushing up so much without OBV following.  Squeeze coming soon.  OBV hints at downwards but whichever direction it goes likely sees a couple thousand dollar move.,@Nebraskangooner,/Nebraskangooner/status/1488658397176250369,True
2022-02-01 23:38:41,Replay available -   $BTC #Bitcoin  Analysis of relief rally and major resistance targets.   $ETHBTC and $SOL as well.   Plus dancing    https://youtu.be/B2ZnvDLXJ7g?sub_confirmation=1…,@BigCheds,/BigCheds/status/1488658091994402820,True
2022-02-01 23:35:38,"Retweet this tweet and follow me then reply with either your Cash App, PayPal, Venmo, Chime, #ETH address, #Bitcoin address and #OttoSquad   Retweet my pinned tweet to help support my new song   Tag friends ",@OttoMatticBaby,/OttoMatticBaby/status/1488657325565095936,True
2022-02-01 23:35:24,Short term pain for long term gain #bitcoin,@Coins_Kid,/Coins_Kid/status/1488657266505048067,True
2022-02-01 23:27:59,"If you like money you buy $VRA under 2 cents @verasitytech is the mother of all gems  Accumulating sizable positions here will prove to bring financial freedom, no paper handing this one. Key levels marked, if #bitcoin nukes I’ll accumulate more. Keep it simple $VRA to $1 ",@DeFiGOD_,/DeFiGOD_/status/1488655399674732544,False
2022-02-01 23:26:13,One thing I love about the #Bitcoin community is we retreat to our caves during corrections but just come back out and resume the party anytime we go back up 10%,@intocryptoverse,/intocryptoverse/status/1488654955514892295,True
2022-02-01 23:25:17,"#Bitcoin Liveliness is a macro metric which tracks coin dormancy vs coin-day destruction.  The current market is seeing a preference for HODLing, rather than spending. This leads to a downtrend in liveliness, typically seen within the context of bear market accumulation phases.",@glassnode,/glassnode/status/1488654720365645829,True
2022-02-01 23:24:13,FIDELITY - It is highly unlikely for #bitcoin to be replaced by an “improved” digital asset.,@Dennis_Porter_,/Dennis_Porter_/status/1488654449744613377,True
2022-02-01 23:23:33,"Trade #bitcoin #ethereum #cardano and all the top #crypto #altcoins on Phemex.  Use this link to sign up and get 10% off fees and up to $3,600 trading bonus! $100 standard bonus  $3,500 deposit bonus",@TheCryptoLark,/TheCryptoLark/status/1488654284698755073,True
2022-02-01 23:19:37,"""What are the key institutional or key economic milestones moving forward that will drive #Bitcoin adoption?""  @saylor asks @LynAldenContact on their Bitcoin for Corporations panel.",@SwanBitcoin,/SwanBitcoin/status/1488653292842348544,True
2022-02-01 23:06:09,"To the Bitcoin maxis out there still buying #bitcoin with centralized, KYC'd exchanges and brokers... do you feel dirty?  $40k USDC to BTC with no account. No KYC. No intermediaries. No territory restrictions.    @ShapeShift_io app + @THORChain dex",@ErikVoorhees,/ErikVoorhees/status/1488649902594818050,True
2022-02-01 23:04:18,Get in loser we're separating money from state. #bitcoin,@sthenc,/sthenc/status/1488649436506980359,True
2022-02-01 23:03:40,"Happy Lunar New Year! At @trylolli we’re giving away Free Bitcoin in Red Envelopes. Earn Bitcoin for 16 days using daily stack, and every time you shop using Lolli, you can earn more #Bitcoin  #LunarNewYear",@MichellePhan,/MichellePhan/status/1488649280202035201,True
2022-02-01 23:00:35,What an amazing day it was for @SolunaHoldings $SLNH is on a mission to catalyze #renewableenergy using #bitcoin and other batchable computing applications. Computing is a better battery! @DipulP,@jbelizaireCEO,/jbelizaireCEO/status/1488648502292926471,False
2022-02-01 22:59:41,When you fight the State to create a new corporate money it is inevitable you come to realize why #Bitcoin is the only digital alternative that can succeed.,@real_vijay,/real_vijay/status/1488648276026949633,False
2022-02-01 22:58:33,#Bitcoin .. sooooo close to bottom.  Maybe there already?,@nsquaredcrypto,/nsquaredcrypto/status/1488647993251225602,True
2022-02-01 22:54:52,"Bank of England #RippleNet, India #CBDC Confirmed, #XRP   https://youtu.be/Q69yZZsdoos via @YouTube   LETS GOO   #cryptocurrency #Crypto #BTC #Bitcoin",@MinusWells,/MinusWells/status/1488647063248146433,True
2022-02-01 22:53:00,#bitcoin has already won. If you don't agree then you still don't get it yet. It's ok.,@deyonte_btc,/deyonte_btc/status/1488646592768970753,False
2022-02-01 22:46:49,The USA national debt just crossed over $30 Trillion dollars. There is no turning back. We need #Bitcoin now more than ever.,@Dennis_Porter_,/Dennis_Porter_/status/1488645036774363138,True
2022-02-01 22:45:07,Live look in at @Saylor seeing #Bitcoin stuck at $38k ,@BigSeanHarris,/BigSeanHarris/status/1488644611715350534,False
2022-02-01 22:39:21,"Recorded an amazing show with @real_vijay discussing the great filter, life behind democracy and #bitcoin.",@PeterMcCormack,/PeterMcCormack/status/1488643160020422657,True
2022-02-01 22:36:59,Check out @Bridge_Mutual's #TikTok video: “We need #DeFi #insurance.”   https://vm.tiktok.com/TTPdkJYfvd/   $BMI #CryptoNews #Bitcoin,@ava_defi,/ava_defi/status/1488642565620518914,False
2022-02-01 22:29:34,"$KLEE is at a 10 Million MC with doxxed devs, burned liquidity, a LIVE play to earn game on the @GooglePlay store, starting marketing in the Philippines, and having conversations with #ElSalvador government officials...... DON’T MISS OUT!  #Ethereum #PlayToEarn #Bitcoin",@MrDiamondhandz1,/MrDiamondhandz1/status/1488640696458354691,True
2022-02-01 22:25:06,I can’t wait to see $ORN #ORN over $100 no matter how long it takes it’s a blessing to accumulate and stake = free money + profits   All these weak hands are gonna be kicking themselves  easiest 10-100X+  #btc #bitcoin #eth #ethereum #binance #bnb,@HimenesRicardo,/HimenesRicardo/status/1488639572334555143,False
2022-02-01 22:22:26,Not in #ElSalvador - just getting started here #Bitcoin,@Bitcoinbeach,/Bitcoinbeach/status/1488638902235803655,True
2022-02-01 22:20:14,Poorly explain #Bitcoin,@jaygould,/jaygould/status/1488638348692500486,True
